"Country","Date","Statistic","Value"
"United States of America",2014-12-10,"Cases",4
"United States of America",2014-12-10,"Deaths",1
"Spain",2014-12-15,"Cases",1
"Spain",2014-12-15,"Deaths",0
"Nigeria",2014-12-15,"Cases",20
"Nigeria",2014-12-15,"Deaths",8
"Guinea",2014-12-15,"Cases",2394
"Guinea",2014-12-15,"Deaths",1518
"United States of America",2014-12-15,"Cases",4
"United States of America",2014-12-15,"Deaths",1
"Mali",2014-12-15,"Cases",8
"Mali",2014-12-15,"Deaths",6
"Liberia",2014-12-15,"Cases",7797
"Liberia",2014-12-15,"Deaths",3290
"Senegal",2014-12-15,"Cases",1
"Senegal",2014-12-15,"Deaths",0
"Sierra Leone",2014-12-15,"Cases",8273
"Sierra Leone",2014-12-15,"Deaths",2033
"Nigeria",2014-12-17,"Cases",20
"Nigeria",2014-12-17,"Deaths",8
"Senegal",2014-12-17,"Cases",1
"Senegal",2014-12-17,"Deaths",0
"Spain",2014-12-17,"Cases",1
"Spain",2014-12-17,"Deaths",0
"Liberia",2014-12-17,"Cases",7797
"Liberia",2014-12-17,"Deaths",3290
"Mali",2014-12-17,"Cases",8
"Mali",2014-12-17,"Deaths",6
"United States of America",2014-12-17,"Cases",4
"United States of America",2014-12-17,"Deaths",1
"Guinea",2014-12-17,"Cases",2416
"Guinea",2014-12-17,"Deaths",1525
"Sierra Leone",2014-12-17,"Cases",8356
"Sierra Leone",2014-12-17,"Deaths",2085
"Spain",2014-12-22,"Cases",1
"Spain",2014-12-22,"Deaths",0
"United States of America",2014-12-22,"Cases",4
"United States of America",2014-12-22,"Deaths",1
"Nigeria",2014-12-22,"Cases",20
"Nigeria",2014-12-22,"Deaths",8
"Senegal",2014-12-22,"Cases",1
"Senegal",2014-12-22,"Deaths",0
"Guinea",2014-12-22,"Cases",2571
"Guinea",2014-12-22,"Deaths",1586
"Liberia",2014-12-22,"Cases",7830
"Liberia",2014-12-22,"Deaths",3376
"Mali",2014-12-22,"Cases",8
"Mali",2014-12-22,"Deaths",6
"Sierra Leone",2014-12-22,"Cases",8939
"Sierra Leone",2014-12-22,"Deaths",2556
"Sierra Leone",2014-12-23,"Cases",9004
"Sierra Leone",2014-12-23,"Deaths",2582
"Mali",2014-12-23,"Cases",8
"Mali",2014-12-23,"Deaths",6
"Spain",2014-12-23,"Cases",1
"Spain",2014-12-23,"Deaths",0
"Liberia",2014-12-23,"Cases",7830
"Liberia",2014-12-23,"Deaths",3376
"Senegal",2014-12-23,"Cases",1
"Senegal",2014-12-23,"Deaths",0
"Guinea",2014-12-23,"Cases",2597
"Guinea",2014-12-23,"Deaths",1607
"Nigeria",2014-12-23,"Cases",20
"Nigeria",2014-12-23,"Deaths",8
"United States of America",2014-12-23,"Cases",4
"United States of America",2014-12-23,"Deaths",1
"Nigeria",2014-12-24,"Cases",20
"Nigeria",2014-12-24,"Deaths",8
"Senegal",2014-12-24,"Cases",1
"Senegal",2014-12-24,"Deaths",0
"Guinea",2014-12-24,"Cases",2597
"Guinea",2014-12-24,"Deaths",1607
"Sierra Leone",2014-12-24,"Cases",9004
"Sierra Leone",2014-12-24,"Deaths",2582
"Spain",2014-12-24,"Cases",1
"Spain",2014-12-24,"Deaths",0
"Mali",2014-12-24,"Cases",8
"Mali",2014-12-24,"Deaths",6
"Liberia",2014-12-24,"Cases",7862
"Liberia",2014-12-24,"Deaths",3384
"United States of America",2014-12-24,"Cases",4
"United States of America",2014-12-24,"Deaths",1
"Senegal",2014-12-26,"Cases",1
"Senegal",2014-12-26,"Deaths",0
"Mali",2014-12-26,"Cases",8
"Mali",2014-12-26,"Deaths",6
"Sierra Leone",2014-12-26,"Cases",9203
"Sierra Leone",2014-12-26,"Deaths",2655
"United States of America",2014-12-26,"Cases",4
"United States of America",2014-12-26,"Deaths",1
"Nigeria",2014-12-26,"Cases",20
"Nigeria",2014-12-26,"Deaths",8
"Guinea",2014-12-26,"Cases",2630
"Guinea",2014-12-26,"Deaths",1654
"Liberia",2014-12-26,"Cases",7862
"Liberia",2014-12-26,"Deaths",3384
"Spain",2014-12-26,"Cases",1
"Spain",2014-12-26,"Deaths",0
"United States of America",2014-12-29,"Cases",4
"United States of America",2014-12-29,"Deaths",1
"Sierra Leone",2014-12-29,"Cases",9409
"Sierra Leone",2014-12-29,"Deaths",2732
"Nigeria",2014-12-29,"Cases",20
"Nigeria",2014-12-29,"Deaths",8
"Mali",2014-12-29,"Cases",8
"Mali",2014-12-29,"Deaths",6
"Liberia",2014-12-29,"Cases",7977
"Liberia",2014-12-29,"Deaths",3413
"Guinea",2014-12-29,"Cases",2695
"Guinea",2014-12-29,"Deaths",1697
"Senegal",2014-12-29,"Cases",1
"Senegal",2014-12-29,"Deaths",0
"Spain",2014-12-29,"Cases",1
"Spain",2014-12-29,"Deaths",0
"United States of America",2014-12-30,"Cases",4
"United States of America",2014-12-30,"Deaths",1
"Sierra Leone",2014-12-30,"Cases",9446
"Sierra Leone",2014-12-30,"Deaths",2758
"Mali",2014-12-30,"Cases",8
"Mali",2014-12-30,"Deaths",6
"Liberia",2014-12-30,"Cases",7977
"Liberia",2014-12-30,"Deaths",3413
"Guinea",2014-12-30,"Cases",2706
"Guinea",2014-12-30,"Deaths",1708
"Spain",2014-12-30,"Cases",1
"Spain",2014-12-30,"Deaths",0
"Senegal",2014-12-30,"Cases",1
"Senegal",2014-12-30,"Deaths",0
"Nigeria",2014-12-30,"Cases",20
"Nigeria",2014-12-30,"Deaths",8
"Spain",2014-12-31,"Cases",1
"Spain",2014-12-31,"Deaths",0
"Senegal",2014-12-31,"Cases",1
"Senegal",2014-12-31,"Deaths",0
"Liberia",2014-12-31,"Cases",8018
"Liberia",2014-12-31,"Deaths",3423
"Sierra Leone",2014-12-31,"Cases",9446
"Sierra Leone",2014-12-31,"Deaths",2758
"Mali",2014-12-31,"Cases",8
"Mali",2014-12-31,"Deaths",6
"Nigeria",2014-12-31,"Cases",20
"Nigeria",2014-12-31,"Deaths",8
"United States of America",2014-12-31,"Cases",4
"United States of America",2014-12-31,"Deaths",1
"Guinea",2014-12-31,"Cases",2707
"Guinea",2014-12-31,"Deaths",1709
"Nigeria",2015-01-02,"Cases",20
"Nigeria",2015-01-02,"Deaths",8
"Spain",2015-01-02,"Cases",1
"Spain",2015-01-02,"Deaths",0
"United States of America",2015-01-02,"Cases",4
"United States of America",2015-01-02,"Deaths",1
"Senegal",2015-01-02,"Cases",1
"Senegal",2015-01-02,"Deaths",0
"United Kingdom",2015-01-02,"Cases",0
"United Kingdom",2015-01-02,"Deaths",0
"Liberia",2015-01-02,"Cases",8018
"Liberia",2015-01-02,"Deaths",3423
"Sierra Leone",2015-01-02,"Cases",9633
"Sierra Leone",2015-01-02,"Deaths",2827
"Mali",2015-01-02,"Cases",8
"Mali",2015-01-02,"Deaths",6
"Guinea",2015-01-02,"Cases",2730
"Guinea",2015-01-02,"Deaths",1739
"Sierra Leone",2015-01-05,"Cases",9772
"Sierra Leone",2015-01-05,"Deaths",2915
"Liberia",2015-01-05,"Cases",8115
"Liberia",2015-01-05,"Deaths",3471
"Spain",2015-01-05,"Cases",1
"Spain",2015-01-05,"Deaths",0
"Nigeria",2015-01-05,"Cases",20
"Nigeria",2015-01-05,"Deaths",8
"United Kingdom",2015-01-05,"Cases",0
"United Kingdom",2015-01-05,"Deaths",0
"Guinea",2015-01-05,"Cases",2769
"Guinea",2015-01-05,"Deaths",1767
"United States of America",2015-01-05,"Cases",4
"United States of America",2015-01-05,"Deaths",1
"Mali",2015-01-05,"Cases",8
"Mali",2015-01-05,"Deaths",6
"Senegal",2015-01-05,"Cases",1
"Senegal",2015-01-05,"Deaths",0
"United Kingdom",2015-01-06,"Cases",1
"United Kingdom",2015-01-06,"Deaths",0
"Guinea",2015-01-06,"Cases",2775
"Guinea",2015-01-06,"Deaths",1781
"Sierra Leone",2015-01-06,"Cases",9780
"Sierra Leone",2015-01-06,"Deaths",2943
"Liberia",2015-01-06,"Cases",8157
"Liberia",2015-01-06,"Deaths",3496
"Spain",2015-01-06,"Cases",1
"Spain",2015-01-06,"Deaths",0
"United States of America",2015-01-06,"Cases",4
"United States of America",2015-01-06,"Deaths",1
"Senegal",2015-01-06,"Cases",1
"Senegal",2015-01-06,"Deaths",0
"Nigeria",2015-01-06,"Cases",20
"Nigeria",2015-01-06,"Deaths",8
"Mali",2015-01-06,"Cases",8
"Mali",2015-01-06,"Deaths",6
"Spain",2015-01-07,"Cases",1
"Spain",2015-01-07,"Deaths",0
"Guinea",2015-01-07,"Cases",2775
"Guinea",2015-01-07,"Deaths",1781
"Senegal",2015-01-07,"Cases",1
"Senegal",2015-01-07,"Deaths",0
"Nigeria",2015-01-07,"Cases",20
"Nigeria",2015-01-07,"Deaths",8
"United Kingdom",2015-01-07,"Cases",1
"United Kingdom",2015-01-07,"Deaths",0
"Mali",2015-01-07,"Cases",8
"Mali",2015-01-07,"Deaths",6
"United States of America",2015-01-07,"Cases",4
"United States of America",2015-01-07,"Deaths",1
"Sierra Leone",2015-01-07,"Cases",9780
"Sierra Leone",2015-01-07,"Deaths",2943
"Liberia",2015-01-07,"Cases",8157
"Liberia",2015-01-07,"Deaths",3496
"United Kingdom",2015-01-08,"Cases",NA
"United Kingdom",2015-01-08,"Deaths",0
"Mali",2015-01-08,"Cases",NA
"Mali",2015-01-08,"Deaths",6
"Guinea",2015-01-08,"Cases",2776
"Guinea",2015-01-08,"Deaths",1786
"Sierra Leone",2015-01-08,"Cases",10030
"Sierra Leone",2015-01-08,"Deaths",2977
"Liberia",2015-01-08,"Cases",8166
"Liberia",2015-01-08,"Deaths",3496
"Mali",2015-01-09,"Cases",NA
"Mali",2015-01-09,"Deaths",6
"Guinea",2015-01-09,"Cases",2793
"Guinea",2015-01-09,"Deaths",1797
"United Kingdom",2015-01-09,"Cases",NA
"United Kingdom",2015-01-09,"Deaths",0
"Sierra Leone",2015-01-09,"Cases",10030
"Sierra Leone",2015-01-09,"Deaths",2977
"Liberia",2015-01-09,"Cases",8263
"Liberia",2015-01-09,"Deaths",3515
"Liberia",2015-01-12,"Cases",8278
"Liberia",2015-01-12,"Deaths",3515
"United Kingdom",2015-01-12,"Cases",NA
"United Kingdom",2015-01-12,"Deaths",0
"Sierra Leone",2015-01-12,"Cases",10094
"Sierra Leone",2015-01-12,"Deaths",3049
"Mali",2015-01-12,"Cases",NA
"Mali",2015-01-12,"Deaths",6
"Guinea",2015-01-12,"Cases",2799
"Guinea",2015-01-12,"Deaths",1807
"United Kingdom",2015-01-13,"Cases",NA
"United Kingdom",2015-01-13,"Deaths",0
"Mali",2015-01-13,"Cases",NA
"Mali",2015-01-13,"Deaths",6
"Guinea",2015-01-13,"Cases",2799
"Guinea",2015-01-13,"Deaths",1807
"Liberia",2015-01-13,"Cases",8278
"Liberia",2015-01-13,"Deaths",3515
"Sierra Leone",2015-01-13,"Cases",10094
"Sierra Leone",2015-01-13,"Deaths",3049
"Liberia",2015-01-14,"Cases",8331
"Liberia",2015-01-14,"Deaths",3538
"United States of America",2015-01-14,"Cases",4
"United States of America",2015-01-14,"Deaths",1
"Senegal",2015-01-14,"Cases",1
"Senegal",2015-01-14,"Deaths",0
"Guinea",2015-01-14,"Cases",2806
"Guinea",2015-01-14,"Deaths",1814
"Spain",2015-01-14,"Cases",1
"Spain",2015-01-14,"Deaths",0
"Nigeria",2015-01-14,"Cases",20
